"",sel,title,artist,"top genre",year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
55,"","Russian Roulette","Lords Of The New Church","gothic rock",1988,"2016-12-03",134,76,58,-14,10,81,226,0,12,17
56,"","Parvaz (Flight)","Axiom Of Choice","world fusion",2002,"2016-12-03",116,23,58,-14,12,33,279,85,4,16
57,"","The Piano in the Bathtub","Department Of Eagles",folktronica,2003,"2016-12-03",108,49,30,-13,24,31,263,16,4,13
58,"",Querkraft,Rome,"luxembourgian indie",2011,"2016-12-03",120,77,50,-9,22,22,297,22,5,13
59,"",Sienipilvi,"Oranssi Pazuzu","atmospheric black metal",2011,"2016-12-03",81,56,28,-8,11,30,357,0,4,13
60,"","Abolish Government/Silent Majority","T.S.O.L.","hardcore punk",2005,"2016-12-03",114,93,34,-5,21,67,125,0,10,13
61,"","Dripping Melancholy",Totalselfhatred,"depressive black metal",2011,"2016-12-03",150,83,13,-5,13,13,319,12,6,13
62,"","So Sorry Girl","Blackbird Blackbird",chillwave,2010,"2016-12-03",114,69,75,-8,12,92,138,33,4,12
63,"","Wonderful Wonderful Sun",":Of The Wand And The Moon:","dark wave",2005,"2016-12-03",180,72,33,-8,15,79,134,0,3,12
64,"","Body Hard - Original Mix","DJ Furax","belgian dance",2013,"2016-12-03",145,53,86,-13,13,72,254,0,27,11
65,"","All That Mattered (Love You Down) - Radio Edit","Mischa Daniels","dutch edm",2011,"2016-12-03",128,74,68,-6,16,56,153,10,6,11
66,"",Papercup,Sleeparchive,"dub techno",2007,"2016-12-03",130,43,82,-11,8,4,535,2,6,11
67,"",Zombi,Goblin,"horror synth",1987,"2016-12-03",124,49,47,-19,8,59,264,82,4,10
68,"","Death Time",Converter,"power noise",2000,"2016-12-03",140,100,59,-6,6,2,482,7,20,9
69,"","Epic - Above & Beyond Remix","Rusch & Murray","",2008,"2016-12-03",138,99,52,-7,36,75,181,0,5,9
70,"","Still So Strange","God Module",aggrotech,2005,"2016-12-03",125,100,51,-6,60,45,295,0,4,8
71,"","Your Darkest Soul","Ah Cama-Sotz","power noise",2005,"2016-12-03",130,72,71,-11,9,36,230,0,6,8
72,"",Cain,Tiamat,"doom metal",2003,"2016-12-03",138,74,46,-7,12,23,241,1,4,8
73,"",Ascension,Totalselfhatred,"depressive black metal",2011,"2016-12-03",134,92,16,-5,10,13,403,2,7,7
74,"",Lucid,"God Module",aggrotech,2005,"2016-12-03",140,100,52,-6,43,48,312,0,4,6
75,"","Buried Silence","Ice Ages","",2007,"2016-12-03",85,81,44,-9,14,11,387,4,4,5
76,"","Angel - Furax Mix","DJ Furax","belgian dance",2015,"2016-12-03",128,82,59,-7,7,11,311,0,3,4
77,"","Tied Up",LFO,"acid house",1994,"2016-12-03",110,95,59,-8,5,46,322,0,8,4
78,"",Aleph,"Inigo Kennedy","minimal dub",2014,"2016-12-03",128,82,77,-6,72,11,354,2,21,2
79,"",Narcosis,"Glutamato Ye Ye","spanish new wave",1982,"2016-12-03",149,64,53,-11,9,84,170,32,20,2
80,"","Itami (Two)",Converter,"power noise",2000,"2016-12-03",120,84,40,-8,8,12,244,0,35,1
81,"","Iron Ghetto Man Crusher","Curse Of The Golden Vampire",cybergrind,2003,"2016-12-03",87,95,27,-3,90,3,229,5,21,1
82,"","It's Party Time","45 Grave","dark wave",2004,"2016-12-03",128,90,46,-3,62,57,182,0,4,1
83,"","Crippled Nurse (and Water)","O/V/R","minimal dub",2010,"2016-12-03",105,55,80,-14,26,21,312,0,9,1
84,"",Stillstand,Farsot,"german black metal",2009,"2016-12-03",136,75,21,-8,24,15,337,0,4,1
85,"",Inlandsis,"Sylvgheist Maelstrom","",2014,"2016-12-03",110,98,47,-6,23,5,303,0,24,0
86,"","Aegys Myrien",Aynth,"",2013,"2016-12-03",120,70,57,-11,9,25,312,0,5,0
87,"","U Inside",Yahel,"full on",2015,"2016-12-03",135,84,58,-10,27,62,220,0,4,0
88,"",Obdalysque,Aynth,"",2013,"2016-12-03",121,71,42,-10,12,43,317,0,10,0
89,"","Saipentia Mnetea - Broken Fabiola + Digital.Rape Remix",Aynth,"",2013,"2016-12-03",125,94,61,-8,44,18,441,0,35,0
90,"",Kartaflik,"Sylvgheist Maelstrom","",2014,"2016-12-03",120,84,66,-6,7,29,258,2,4,0
